"","reach","year","km","reach_yr"
"1",0,"1890",250.49,"X1890_0_mgyr"
"2",0,"1950",248.49,"X1950_0_mgyr"
"3",0,"2006",248.57,"X2006_0_mgyr"
"4",0,"2012",248.57,"X2012_0_mgyr"
"5",10,"1890",103.6,"X1890_10_mgyr"
"6",10,"1950",92.55,"X1950_10_mgyr"
"7",10,"2006",90.21,"X2006_10_mgyr"
"8",10,"2012",89.84,"X2012_10_mgyr"
"9",11,"1890",45.38,"X1890_11_mgyr"
"10",11,"1950",NA,"X1950_11_mgyr"
"11",11,"2006",28.61,"X2006_11_mgyr"
"12",11,"2012",28.52,"X2012_11_mgyr"
"13",12,"1890",274.8,"X1890_12_mgyr"
"14",12,"1950",238.79,"X1950_12_mgyr"
"15",12,"2006",222.39,"X2006_12_mgyr"
"16",12,"2012",222.08,"X2012_12_mgyr"
"17",13,"1890",401.53,"X1890_13_mgyr"
"18",13,"1950",368.82,"X1950_13_mgyr"
"19",13,"2006",336.85,"X2006_13_mgyr"
"20",13,"2012",366.06,"X2012_13_mgyr"
"21",2,"1890",370.79,"X1890_2_mgyr"
"22",2,"1950",367.58,"X1950_2_mgyr"
"23",2,"2006",346.2,"X2006_2_mgyr"
"24",2,"2012",346.2,"X2012_2_mgyr"
"25",4,"1890",171.86,"X1890_4_mgyr"
"26",4,"1950",167.07,"X1950_4_mgyr"
"27",4,"2006",164.68,"X2006_4_mgyr"
"28",4,"2012",164.53,"X2012_4_mgyr"
"29",8,"1890",64.63,"X1890_8_mgyr"
"30",8,"1950",63.55,"X1950_8_mgyr"
"31",8,"2006",62.02,"X2006_8_mgyr"
"32",8,"2012",62.75,"X2012_8_mgyr"
